2015.04.02. 22:09:59
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	618	16	331	15	0	5340


2015.04.15. 0:36:10
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	618	16	331	15	0	5340


2015.04.15. 8:58:30
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	540	16	319	15	0	5289


2015.04.15. 8:58:56
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	559	16	324	15	0	5303


2015.04.15. 9:13:18
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	523	16	309	15	0	5270


2015.04.15. 9:15:19
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	523	0	0	15	0	1761


2015.04.15. 9:17:03
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	526	16	311	15	0	5274


2015.04.15. 14:26:38
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	526	16	311	15	0	5274


2015.04.15. 15:40:39
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	526	16	311	15	0	5274


2015.04.15. 15:54:51
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	526	16	311	15	0	5274


2015.04.15. 20:53:06
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	524	16	308	15	0	5270


2015.04.16. 1:08:17
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	183	16	243	15	0	5034


2015.04.16. 1:19:56
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	183	16	243	15	0	5034


2015.04.16. 1:20:50
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 1:22:17
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 1:24:37
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:05:28
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:07:22
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:07:58
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:08:25
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:08:45
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	173	15	0	4967


2015.04.16. 10:10:08
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	124	15	0	4921


2015.04.16. 10:12:24
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	526	16	311	15	0	5274


2015.04.16. 10:13:11
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	124	15	0	4921


2015.04.16. 14:32:24
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	192	16	184	15	0	4980


2015.04.16. 14:34:34
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	190	16	117	15	0	4912


2015.04.16. 14:45:32
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	194	16	135	15	0	4932


2015.04.16. 19:46:45
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	124	15	0	4921


2015.04.16. 19:47:25
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	124	15	0	4921


2015.04.16. 19:55:56
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	185	16	103	15	0	4895


2015.04.17. 20:18:13
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	193	16	173	15	0	4969


2015.04.17. 20:18:56
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
